TIME,Kotel [imp],Boiler [imp],Rack [imp],Kotel [KWh],Boiler [KWh],Rack [KWh],DATE
10/11/2017 1:29:45,87,0,15,490.75,190.01,200.82,10/11/2017
10/11/2017 1:31:30,100,51,17,490.77,190.06,200.82,10/11/2017
10/11/2017 1:41:25,172,139,29,490.86,190.15,200.83,10/11/2017
10/11/2017 1:51:24,244,139,40,490.95,190.15,200.84,10/11/2017
10/11/2017 2:01:25,315,139,52,491.03,190.15,200.85,10/11/2017
10/11/2017 2:11:25,533,139,64,491.31,190.15,200.86,10/11/2017
10/11/2017 2:21:24,792,139,75,491.63,190.15,200.88,10/11/2017
10/11/2017 2:31:24,964,265,87,491.85,190.28,200.89,10/11/2017
10/11/2017 2:41:25,1142,265,98,492.07,190.28,200.90,10/11/2017
10/11/2017 2:51:25,1306,265,110,492.27,190.28,200.91,10/11/2017
10/11/2017 3:01:25,1472,265,122,492.48,190.28,200.92,10/11/2017
10/11/2017 3:11:25,1628,265,133,492.68,190.28,200.93,10/11/2017
10/11/2017 3:21:25,1786,412,145,492.87,190.42,200.95,10/11/2017
10/11/2017 3:31:25,1934,412,157,493.06,190.42,200.96,10/11/2017
10/11/2017 3:41:25,2084,412,168,493.25,190.42,200.97,10/11/2017
10/11/2017 3:51:24,2222,412,180,493.42,190.42,200.98,10/11/2017
10/11/2017 4:01:25,2360,412,192,493.59,190.42,200.99,10/11/2017
10/11/2017 4:11:25,2501,412,203,493.77,190.42,201.00,10/11/2017
10/11/2017 4:21:25,2638,547,215,493.94,190.56,201.02,10/11/2017
10/11/2017 4:31:25,2775,547,227,494.11,190.56,201.03,10/11/2017
10/11/2017 4:41:25,2898,547,238,494.26,190.56,201.04,10/11/2017
10/11/2017 4:51:24,2981,547,250,494.37,190.56,201.05,10/11/2017
10/11/2017 5:01:25,3060,547,262,494.47,190.56,201.06,10/11/2017
10/11/2017 5:11:25,3134,547,273,494.56,190.56,201.07,10/11/2017
10/11/2017 5:21:25,3208,547,285,494.65,190.56,201.09,10/11/2017
10/11/2017 5:31:24,3289,677,297,494.75,190.69,201.10,10/11/2017
10/11/2017 5:41:25,3358,677,308,494.84,190.69,201.11,10/11/2017
10/11/2017 5:51:25,3430,677,320,494.93,190.69,201.12,10/11/2017
10/11/2017 6:01:25,3500,677,331,495.02,190.69,201.13,10/11/2017
10/11/2017 6:11:25,3576,677,343,495.11,190.69,201.14,10/11/2017
10/11/2017 6:21:25,3647,677,353,495.20,190.69,201.15,10/11/2017
10/11/2017 6:31:25,3727,677,365,495.30,190.69,201.17,10/11/2017
10/11/2017 6:41:25,3800,677,376,495.39,190.69,201.18,10/11/2017
10/11/2017 6:51:25,3870,677,388,495.48,190.69,201.19,10/11/2017
10/11/2017 7:01:25,3939,677,399,495.56,190.69,201.20,10/11/2017
10/11/2017 7:11:25,3959,677,410,495.59,190.69,201.21,10/11/2017
10/11/2017 7:21:25,3961,677,421,495.59,190.69,201.22,10/11/2017
10/11/2017 7:31:25,3961,677,433,495.59,190.69,201.23,10/11/2017
10/11/2017 7:41:25,3962,677,444,495.59,190.69,201.24,10/11/2017
10/11/2017 7:51:25,3963,677,456,495.59,190.69,201.26,10/11/2017
10/11/2017 8:01:25,3964,677,467,495.60,190.69,201.27,10/11/2017
10/11/2017 8:11:25,4077,677,478,495.74,190.69,201.28,10/11/2017
10/11/2017 8:21:25,4362,677,489,496.09,190.69,201.29,10/11/2017
10/11/2017 8:31:25,4614,677,501,496.41,190.69,201.30,10/11/2017
10/11/2017 8:41:25,4782,677,512,496.62,190.69,201.31,10/11/2017
10/11/2017 8:51:25,4950,677,524,496.83,190.69,201.32,10/11/2017
10/11/2017 9:01:25,5105,677,536,497.02,190.69,201.34,10/11/2017
10/11/2017 9:11:25,5223,677,547,497.17,190.69,201.35,10/11/2017
10/11/2017 9:21:27,5358,677,559,497.34,190.69,201.36,10/11/2017
10/11/2017 9:31:25,5488,677,570,497.50,190.69,201.37,10/11/2017
10/11/2017 9:41:25,5613,677,582,497.66,190.69,201.38,10/11/2017
10/11/2017 9:51:25,5759,677,594,497.84,190.69,201.39,10/11/2017
10/11/2017 10:01:25,5850,677,605,497.95,190.69,201.41,10/11/2017
10/11/2017 10:11:25,5934,677,617,498.06,190.69,201.42,10/11/2017
10/11/2017 10:21:25,6035,677,628,498.18,190.69,201.43,10/11/2017
10/11/2017 10:31:25,6128,677,639,498.30,190.69,201.44,10/11/2017
10/11/2017 10:41:25,6232,677,650,498.43,190.69,201.45,10/11/2017
10/11/2017 10:51:26,6326,677,662,498.55,190.69,201.46,10/11/2017
10/11/2017 11:01:25,6392,677,673,498.63,190.69,201.47,10/11/2017
10/11/2017 11:11:25,6397,677,685,498.64,190.69,201.49,10/11/2017
10/11/2017 11:21:25,6398,677,696,498.64,190.69,201.50,10/11/2017
10/11/2017 11:31:25,6399,677,708,498.64,190.69,201.51,10/11/2017
10/11/2017 11:41:25,6399,677,720,498.64,190.69,201.52,10/11/2017
10/11/2017 11:51:25,6400,677,731,498.64,190.69,201.53,10/11/2017
10/11/2017 12:01:25,6518,677,743,498.79,190.69,201.54,10/11/2017
10/11/2017 12:11:25,6648,677,754,498.95,190.69,201.55,10/11/2017
10/11/2017 12:21:25,6751,677,765,499.08,190.69,201.57,10/11/2017
10/11/2017 12:31:26,6858,677,775,499.21,190.69,201.58,10/11/2017
10/11/2017 12:41:25,6925,677,786,499.30,190.69,201.59,10/11/2017
10/11/2017 12:51:25,6999,677,798,499.39,190.69,201.60,10/11/2017
10/11/2017 13:01:25,7083,677,810,499.49,190.69,201.61,10/11/2017
10/11/2017 13:11:26,7150,677,821,499.58,190.69,201.62,10/11/2017
10/11/2017 13:21:25,7238,677,831,499.69,190.69,201.63,10/11/2017
10/11/2017 13:31:25,7262,677,842,499.72,190.69,201.64,10/11/2017
10/11/2017 13:41:26,7269,677,853,499.73,190.69,201.65,10/11/2017
10/11/2017 13:51:25,7299,677,865,499.76,190.69,201.67,10/11/2017
10/11/2017 14:01:25,7319,677,876,499.79,190.69,201.68,10/11/2017
10/11/2017 14:11:25,7326,677,888,499.80,190.69,201.69,10/11/2017
10/11/2017 14:21:25,7332,677,898,499.81,190.69,201.70,10/11/2017
10/11/2017 14:31:25,7334,677,910,499.81,190.69,201.71,10/11/2017
10/11/2017 14:41:25,7334,677,922,499.81,190.69,201.72,10/11/2017
10/11/2017 14:51:25,7335,677,933,499.81,190.69,201.73,10/11/2017
10/11/2017 15:01:25,7336,677,945,499.81,190.69,201.75,10/11/2017
10/11/2017 15:11:25,7337,677,956,499.81,190.69,201.76,10/11/2017
10/11/2017 15:21:26,7343,677,967,499.82,190.69,201.77,10/11/2017
10/11/2017 15:31:25,7364,677,977,499.85,190.69,201.78,10/11/2017
10/11/2017 15:41:26,7398,677,989,499.89,190.69,201.79,10/11/2017
10/11/2017 15:51:25,7419,677,1000,499.91,190.69,201.80,10/11/2017
10/11/2017 16:01:25,7441,677,1012,499.94,190.69,201.81,10/11/2017
10/11/2017 16:11:26,7472,677,1023,499.98,190.69,201.82,10/11/2017
10/11/2017 16:21:25,7492,677,1034,500.01,190.69,201.83,10/11/2017
10/11/2017 16:31:25,7533,862,1044,500.06,190.87,201.84,10/11/2017
10/11/2017 16:41:25,7600,1188,1056,500.14,191.20,201.86,10/11/2017
10/11/2017 16:51:25,7657,1188,1067,500.21,191.20,201.87,10/11/2017
10/11/2017 17:02:05,7718,1321,1080,500.29,191.33,201.88,10/11/2017
10/11/2017 17:11:25,7770,1327,1090,500.35,191.34,201.89,10/11/2017
10/11/2017 17:21:25,7821,1327,1102,500.42,191.34,201.90,10/11/2017
10/11/2017 17:31:26,7870,1478,1112,500.48,191.49,201.91,10/11/2017
10/11/2017 17:41:26,7939,1478,1123,500.56,191.49,201.92,10/11/2017
10/11/2017 17:51:25,8007,1478,1133,500.65,191.49,201.93,10/11/2017
10/11/2017 18:01:26,8071,1478,1145,500.73,191.49,201.95,10/11/2017
10/11/2017 18:11:26,8159,1646,1157,500.84,191.66,201.96,10/11/2017
10/11/2017 18:21:26,8245,1646,1168,500.95,191.66,201.97,10/11/2017
10/11/2017 18:31:25,8360,1646,1180,501.09,191.66,201.98,10/11/2017
10/11/2017 18:41:25,8367,1646,1192,501.10,191.66,201.99,10/11/2017
10/11/2017 18:51:25,8368,1646,1203,501.10,191.66,202.00,10/11/2017
10/11/2017 19:01:25,8368,1646,1215,501.10,191.66,202.02,10/11/2017
10/11/2017 19:11:26,8369,1646,1227,501.10,191.66,202.03,10/11/2017
10/11/2017 19:21:25,8370,1646,1238,501.10,191.66,202.04,10/11/2017
10/11/2017 19:31:25,8371,1646,1250,501.10,191.66,202.05,10/11/2017
10/11/2017 19:41:26,8728,1646,1262,501.55,191.66,202.06,10/11/2017
10/11/2017 19:51:26,8994,1646,1273,501.88,191.66,202.07,10/11/2017
10/11/2017 20:01:26,9263,1646,1285,502.22,191.66,202.09,10/11/2017
10/11/2017 20:11:26,9504,1646,1297,502.52,191.66,202.10,10/11/2017
10/11/2017 20:21:25,9716,1646,1308,502.79,191.66,202.11,10/11/2017
10/11/2017 20:31:26,9918,1646,1320,503.04,191.66,202.12,10/11/2017
10/11/2017 20:41:25,10083,1646,1331,503.24,191.66,202.13,10/11/2017
10/11/2017 20:51:26,10280,1646,1343,503.49,191.66,202.14,10/11/2017
10/11/2017 21:01:26,10467,1646,1355,503.72,191.66,202.16,10/11/2017
10/11/2017 21:11:26,10652,1646,1366,503.96,191.66,202.17,10/11/2017
10/11/2017 21:21:29,10816,1646,1378,504.16,191.66,202.18,10/11/2017
10/11/2017 21:31:26,10919,1646,1390,504.29,191.66,202.19,10/11/2017
10/11/2017 21:41:26,11022,1646,1401,504.42,191.66,202.20,10/11/2017
10/11/2017 21:51:26,11115,1646,1413,504.53,191.66,202.21,10/11/2017
10/11/2017 22:01:26,11211,1646,1425,504.65,191.66,202.23,10/11/2017
10/11/2017 22:11:26,11304,1646,1436,504.77,191.66,202.24,10/11/2017
10/11/2017 22:21:26,11368,1646,1448,504.85,191.66,202.25,10/11/2017
10/11/2017 22:31:26,11453,1646,1459,504.96,191.66,202.26,10/11/2017
10/11/2017 22:41:26,11528,1646,1471,505.05,191.66,202.27,10/11/2017
10/11/2017 22:51:26,11600,1646,1482,505.14,191.66,202.28,10/11/2017
10/11/2017 23:01:26,11671,1646,1492,505.23,191.66,202.29,10/11/2017
10/11/2017 23:11:26,11741,1646,1504,505.32,191.66,202.30,10/11/2017
10/11/2017 23:21:26,11815,1646,1515,505.41,191.66,202.32,10/11/2017
10/11/2017 23:31:26,11887,1865,1527,505.50,191.88,202.33,10/11/2017
10/11/2017 23:41:26,11963,2279,1538,505.59,192.29,202.34,10/11/2017
10/11/2017 23:51:26,12037,2283,1549,505.69,192.29,202.35,10/11/2017
10/12/2017 0:01:26,12101,2458,1559,505.77,192.47,202.36,10/12/2017
10/12/2017 0:11:26,12174,2458,1569,505.86,192.47,202.37,10/12/2017
10/12/2017 0:21:26,12244,2652,1580,505.95,192.66,202.38,10/12/2017
10/12/2017 0:31:26,12314,2652,1591,506.03,192.66,202.39,10/12/2017
10/12/2017 0:41:26,12374,2654,1603,506.11,192.66,202.40,10/12/2017
10/12/2017 0:51:26,12446,2783,1614,506.20,192.79,202.41,10/12/2017
10/12/2017 1:01:26,12631,2783,1626,506.43,192.79,202.43,10/12/2017
10/12/2017 1:11:26,12683,2783,1638,506.49,192.79,202.44,10/12/2017
10/12/2017 1:21:26,12691,2953,1649,506.50,192.96,202.45,10/12/2017
10/12/2017 1:31:26,12722,2953,1661,506.54,192.96,202.46,10/12/2017
10/12/2017 1:41:26,12730,2953,1673,506.55,192.96,202.47,10/12/2017
10/12/2017 1:51:26,12738,2953,1684,506.56,192.96,202.48,10/12/2017
10/12/2017 2:01:26,12747,3087,1696,506.57,193.10,202.50,10/12/2017
10/12/2017 2:11:26,12769,3087,1708,506.60,193.10,202.51,10/12/2017
10/12/2017 2:21:26,12777,3087,1719,506.61,193.10,202.52,10/12/2017
10/12/2017 2:31:26,12786,3087,1731,506.62,193.10,202.53,10/12/2017
10/12/2017 2:41:26,12823,3087,1743,506.67,193.10,202.54,10/12/2017
10/12/2017 2:51:26,12831,3235,1754,506.68,193.25,202.55,10/12/2017
10/12/2017 3:01:26,12867,3235,1766,506.72,193.25,202.57,10/12/2017
10/12/2017 3:11:26,12875,3235,1777,506.73,193.25,202.58,10/12/2017
10/12/2017 3:21:26,12883,3235,1789,506.74,193.25,202.59,10/12/2017
10/12/2017 3:31:26,12916,3235,1800,506.79,193.25,202.60,10/12/2017
10/12/2017 3:41:26,12924,3235,1811,506.80,193.25,202.61,10/12/2017
10/12/2017 3:51:26,12959,3375,1821,506.84,193.39,202.62,10/12/2017
10/12/2017 4:01:26,12968,3375,1831,506.85,193.39,202.63,10/12/2017
10/12/2017 4:11:26,13103,3375,1842,507.02,193.39,202.64,10/12/2017
10/12/2017 4:21:26,13295,3375,1852,507.26,193.39,202.65,10/12/2017
10/12/2017 4:31:26,13445,3375,1864,507.45,193.39,202.66,10/12/2017
10/12/2017 4:41:26,13582,3375,1876,507.62,193.39,202.68,10/12/2017
10/12/2017 4:51:26,13693,3521,1886,507.76,193.53,202.69,10/12/2017
10/12/2017 5:01:26,13835,3521,1896,507.93,193.53,202.70,10/12/2017
10/12/2017 5:11:26,13957,3521,1907,508.09,193.53,202.71,10/12/2017
10/12/2017 5:21:26,14070,3521,1917,508.23,193.53,202.72,10/12/2017
10/12/2017 5:31:26,14153,3521,1928,508.33,193.53,202.73,10/12/2017
10/12/2017 5:41:26,14277,3521,1940,508.49,193.53,202.74,10/12/2017
10/12/2017 5:51:26,14378,3521,1951,508.61,193.53,202.75,10/12/2017
10/12/2017 6:01:26,14387,3521,1961,508.62,193.53,202.76,10/12/2017
10/12/2017 6:11:26,14395,3521,1971,508.63,193.53,202.77,10/12/2017
10/12/2017 6:21:26,14429,3521,1982,508.68,193.53,202.78,10/12/2017
10/12/2017 6:31:26,14437,3521,1992,508.69,193.53,202.79,10/12/2017
10/12/2017 6:41:26,14471,3521,2002,508.73,193.53,202.80,10/12/2017
10/12/2017 6:51:26,14479,3521,2012,508.74,193.53,202.81,10/12/2017
10/12/2017 7:01:26,14487,3521,2023,508.75,193.53,202.82,10/12/2017
10/12/2017 7:11:26,14509,3521,2033,508.78,193.53,202.83,10/12/2017
10/12/2017 7:21:26,14511,3521,2043,508.78,193.53,202.84,10/12/2017
10/12/2017 7:31:26,14512,3521,2055,508.78,193.53,202.86,10/12/2017
10/12/2017 7:41:26,14513,3521,2066,508.78,193.53,202.87,10/12/2017
10/12/2017 7:51:26,14513,3521,2077,508.78,193.53,202.88,10/12/2017
10/12/2017 8:01:26,14514,3521,2087,508.78,193.53,202.89,10/12/2017
10/12/2017 8:11:26,14569,3521,2098,508.85,193.53,202.90,10/12/2017
10/12/2017 8:21:26,14624,3521,2108,508.92,193.53,202.91,10/12/2017
10/12/2017 8:31:26,14661,3521,2118,508.97,193.53,202.92,10/12/2017
10/12/2017 8:41:26,14669,3521,2128,508.98,193.53,202.93,10/12/2017
10/12/2017 8:51:26,14684,3521,2140,509.00,193.53,202.94,10/12/2017
10/12/2017 9:01:26,14709,3521,2151,509.03,193.53,202.95,10/12/2017
10/12/2017 9:11:26,14717,3521,2163,509.04,193.53,202.96,10/12/2017
10/12/2017 9:21:26,14752,3521,2174,509.08,193.53,202.97,10/12/2017
10/12/2017 9:31:27,14761,3521,2184,509.09,193.53,202.98,10/12/2017
10/12/2017 9:41:29,14769,3521,2195,509.10,193.53,203.00,10/12/2017
10/12/2017 9:51:26,14777,3521,2205,509.11,193.53,203.01,10/12/2017
10/12/2017 10:01:27,14785,3521,2216,509.12,193.53,203.02,10/12/2017
10/12/2017 10:11:26,14793,3521,2227,509.13,193.53,203.03,10/12/2017
10/12/2017 10:21:26,14801,3521,2239,509.14,193.53,203.04,10/12/2017
10/12/2017 10:31:26,14809,3521,2249,509.15,193.53,203.05,10/12/2017
10/12/2017 10:41:27,14993,3521,2259,509.38,193.53,203.06,10/12/2017
10/12/2017 10:51:26,15075,3521,2270,509.48,193.53,203.07,10/12/2017
10/12/2017 11:01:26,15157,3521,2280,509.59,193.53,203.08,10/12/2017
10/12/2017 11:11:26,15163,3521,2291,509.59,193.53,203.09,10/12/2017
10/12/2017 11:21:27,15163,3521,2303,509.59,193.53,203.10,10/12/2017
10/12/2017 11:31:27,15164,3521,2314,509.60,193.53,203.11,10/12/2017
10/12/2017 11:41:27,15165,3521,2324,509.60,193.53,203.12,10/12/2017
10/12/2017 11:51:26,15166,3521,2334,509.60,193.53,203.13,10/12/2017
10/12/2017 12:01:26,15298,3521,2346,509.76,193.53,203.15,10/12/2017
10/12/2017 12:11:27,15434,3521,2357,509.93,193.53,203.16,10/12/2017
10/12/2017 12:21:27,15489,3521,2368,510.00,193.53,203.17,10/12/2017
10/12/2017 12:31:26,15546,3521,2378,510.07,193.53,203.18,10/12/2017
10/12/2017 12:41:26,15554,3521,2389,510.08,193.53,203.19,10/12/2017
10/12/2017 12:51:27,15562,3521,2399,510.09,193.53,203.20,10/12/2017
10/12/2017 13:01:26,15570,3521,2410,510.10,193.53,203.21,10/12/2017
10/12/2017 13:11:27,15578,3521,2422,510.11,193.53,203.22,10/12/2017
10/12/2017 13:21:27,15587,3521,2434,510.12,193.53,203.23,10/12/2017
10/12/2017 13:31:26,15595,3521,2446,510.13,193.53,203.25,10/12/2017
10/12/2017 13:41:26,15603,3521,2457,510.14,193.53,203.26,10/12/2017
10/12/2017 13:51:26,15611,3521,2469,510.15,193.53,203.27,10/12/2017
10/12/2017 14:01:26,15619,3521,2481,510.16,193.53,203.28,10/12/2017
10/12/2017 14:11:27,15627,3521,2493,510.17,193.53,203.29,10/12/2017
10/12/2017 14:21:26,15635,3521,2504,510.18,193.53,203.30,10/12/2017
10/12/2017 14:31:27,15636,3521,2516,510.19,193.53,203.32,10/12/2017
10/12/2017 14:41:27,15637,3521,2528,510.19,193.53,203.33,10/12/2017
10/12/2017 14:51:26,15638,3521,2539,510.19,193.53,203.34,10/12/2017
10/12/2017 15:01:27,15639,3521,2550,510.19,193.53,203.35,10/12/2017
10/12/2017 15:11:26,15639,3521,2561,510.19,193.53,203.36,10/12/2017
10/12/2017 15:21:26,15647,3521,2571,510.20,193.53,203.37,10/12/2017
10/12/2017 15:31:27,15655,3521,2581,510.21,193.53,203.38,10/12/2017
10/12/2017 15:41:27,15663,3521,2592,510.22,193.53,203.39,10/12/2017
10/12/2017 15:51:26,15672,3521,2602,510.23,193.53,203.40,10/12/2017
10/12/2017 16:01:26,15680,3521,2613,510.24,193.53,203.41,10/12/2017
10/12/2017 16:11:27,15688,3521,2623,510.25,193.53,203.42,10/12/2017
10/12/2017 16:21:26,15696,3521,2633,510.26,193.53,203.43,10/12/2017
10/12/2017 16:31:27,15704,3704,2644,510.27,193.71,203.44,10/12/2017
10/12/2017 16:41:27,15712,4034,2654,510.28,194.04,203.45,10/12/2017
10/12/2017 16:51:27,15720,4050,2665,510.29,194.06,203.47,10/12/2017
10/12/2017 17:01:27,15729,4204,2675,510.30,194.21,203.48,10/12/2017
10/12/2017 17:11:27,15737,4204,2686,510.31,194.21,203.49,10/12/2017
10/12/2017 17:21:27,15745,4352,2698,510.32,194.36,203.50,10/12/2017
10/12/2017 17:31:27,15753,4352,2709,510.33,194.36,203.51,10/12/2017
10/12/2017 17:41:27,15761,4352,2721,510.34,194.36,203.52,10/12/2017
10/12/2017 17:51:27,15769,4491,2733,510.35,194.50,203.53,10/12/2017
10/12/2017 18:01:27,15777,4491,2745,510.36,194.50,203.55,10/12/2017
10/12/2017 18:11:27,15786,4491,2757,510.37,194.50,203.56,10/12/2017
10/12/2017 18:21:27,15794,4491,2768,510.38,194.50,203.57,10/12/2017
10/12/2017 18:31:26,15802,4580,2780,510.39,194.59,203.58,10/12/2017
10/12/2017 18:41:27,15809,4580,2792,510.40,194.59,203.59,10/12/2017
